plot_component,source,material,model,feature_strategy,feature_strategy_short,scenario_group_type,scenario_group,selected_feature,case_name,mae_test_median,mae_test_std
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1C,fai_irrev_1C,single__fai_irrev_1C,0.014528531,0.002292281
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2C,fai_irrev_2C,single__fai_irrev_2C,0.01519692,0.002325347
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1.5C,fai_irrev_1.5C,single__fai_irrev_1.5C,0.016014388,0.002747385
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_0.5C,fai_irrev_0.5C,single__fai_irrev_0.5C,0.003229023,0.001888654
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1C,fai_irrev_1C,single__fai_irrev_1C,0.017400375,0.00261865
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2.5C,fai_irrev_2.5C,single__fai_irrev_2.5C,0.017377601,0.002634732
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2C,fai_irrev_2C,single__fai_irrev_2C,0.022311427,0.002919979
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1C,fai_irrev_1C,single__fai_irrev_1C,0.022278629,0.003110955
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2.5C,fai_irrev_2.5C,single__fai_irrev_2.5C,0.020843585,0.002832101
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_0.5C,fai_irrev_0.5C,single__fai_irrev_0.5C,0.015624126,0.002371263
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1.5C,fai_irrev_1.5C,single__fai_irrev_1.5C,0.017432193,0.002523055
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1C,fai_irrev_1C,single__fai_irrev_1C,0.002841451,0.001969315
