capacity,width_ms,soc_%,group,mean_crate,d_raw,d_norm,mae
LFP 20Ah,3000,55,1.0C|1.5C,1.25,2.1650635094610964,0.41523286028852247,0.017893090842914572
LFP 20Ah,3000,55,1.5C|2.0C,1.75,3.031088913245535,0.5919276944538513,0.018169965171641635
LFP 20Ah,3000,55,2.0C|2.5C,2.25,3.8971143170299736,0.7686225286191799,0.014683591821267179
LFP 20Ah,3000,55,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,2.598076211353316,0.5035802773711869,0.014252388352832783
LFP 20Ah,3000,60,0.5C|1.0C,0.75,1.299038105676658,0.23853802612319383,0.016362345611503792
LFP 20Ah,3000,60,1.0C|1.5C,1.25,2.1650635094610964,0.41523286028852247,0.019046065382984992
LFP 20Ah,3000,60,1.5C|2.0C,1.75,3.031088913245535,0.5919276944538513,0.01875865652504033
LFP 20Ah,3000,60,2.0C|2.5C,2.25,3.8971143170299736,0.7686225286191799,0.01299892818420868
LFP 20Ah,3000,60,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,2.598076211353316,0.5035802773711869,0.012413482347151833
LFP 20Ah,3000,65,0.5C|1.0C,0.75,1.299038105676658,0.23853802612319383,0.011122595108438481
LFP 20Ah,3000,65,1.0C|1.5C,1.25,2.1650635094610964,0.41523286028852247,0.01169655534526317
LFP 20Ah,3000,65,1.5C|2.0C,1.75,3.031088913245535,0.5919276944538513,0.010780729036711484
LFP 20Ah,3000,65,2.0C|2.5C,2.25,3.8971143170299736,0.7686225286191799,0.01043585911504494
LFP 20Ah,3000,65,0.5C|1.0C|1.5C|2.0C|2.5C,1.5,2.598076211353316,0.5035802773711869,0.010281981869799242
LFP 20Ah,3000,70,0.5C|1.0C,0.75,1.299038105676658,0.23853802612319383,0.008656135147998314
LFP 20Ah,3000,70,1.0C|1.5C,1.25,2.1650635094610964,0.41523286028852247,0.008133274075777852
LFP 20Ah,3000,70,1.5C|2.0C,1.75,3.031088913245535,0.5919276944538513,0.00829353951410972
