capacity,width_ms,soc_%,group,combo_mae,single_mean_mae,delta_mae
20Ah,500,35,2.0C|2.5C,0.015852680133501357,0.016001827254333953,-0.00014914712083259342
20Ah,500,35,0.5C|1.0C|1.5C|2.0C|2.5C,0.015760038264053994,0.0160395805027573,-0.0002795422387033053
20Ah,500,45,0.5C|1.0C,0.014036063223083933,0.01478506176555535,-0.0007489985424714174
20Ah,500,45,1.0C|1.5C,0.015410367141787942,0.015362593137866698,4.7774003921243755e-05
20Ah,500,45,1.5C|2.0C,0.015384320414379236,0.0152980987730592,8.622164132003674e-05
20Ah,500,45,2.0C|2.5C,0.015449140632341268,0.0150626670463199,0.0003864735860213675
20Ah,500,45,0.5C|1.0C|1.5C|2.0C|2.5C,0.014589713152563865,0.015019782196141218,-0.00043006904357735244
20Ah,500,55,0.5C|1.0C,0.015909216070695904,0.01603553426016905,-0.00012631818947314688
20Ah,500,55,1.0C|1.5C,0.016446460649857098,0.01655813955861405,-0.00011167890875695141
20Ah,500,55,1.5C|2.0C,0.016861567936031125,0.01677187623991845,8.96916961126748e-05
20Ah,500,55,2.0C|2.5C,0.01670614518037497,0.0167466084089837,-4.0463228608731414e-05
20Ah,500,55,0.5C|1.0C|1.5C|2.0C|2.5C,0.016482393817962883,0.01647675284670656,5.640971256324346e-06
20Ah,500,65,0.5C|1.0C,0.0142295358519746,0.0141123031366021,0.00011723271537249946
20Ah,500,65,1.0C|1.5C,0.013931339012038683,0.0139323260266191,-9.870145804158347e-07
20Ah,500,65,1.5C|2.0C,0.013810172390581127,0.01379554031840315,1.4632072177978018e-05
20Ah,500,65,2.0C|2.5C,0.013219860950784614,0.01344079938675065,-0.000220938435966036
20Ah,500,65,0.5C|1.0C|1.5C|2.0C|2.5C,0.013602013576427999,0.013788382573951801,-0.00018636899752380253
20Ah,500,75,0.5C|1.0C,0.004538436113586952,0.0034226167868370507,0.0011158193267499018
20Ah,500,75,1.0C|1.5C,0.003682917533429475,0.0034839372671125503,0.0001989802663169249
20Ah,500,75,1.5C|2.0C,0.003440193920957735,0.0033529625666025996,8.723135435513507e-05
20Ah,500,75,2.0C|2.5C,0.003801987043744126,0.0033698498510779497,0.00043213719266617655
20Ah,500,75,0.5C|1.0C|1.5C|2.0C|2.5C,0.007635563399760292,0.00340303506786438,0.004232528331895912
20Ah,3000,5,0.5C|1.0C,0.017462364495957096,0.02846291996155255,-0.011000555465595453
20Ah,3000,5,1.0C|1.5C,0.022895511159404403,0.02655481550969095,-0.0036593043502865497
20Ah,3000,5,1.5C|2.0C,0.023844777575249214,0.030133023281893854,-0.00628824570664464
20Ah,3000,5,2.0C|2.5C,0.030057718752041027,0.03208615643379015,-0.002028437681749122
20Ah,3000,5,0.5C|1.0C|1.5C|2.0C|2.5C,0.017483746308337593,0.02994393478423624,-0.012460188475898646
20Ah,3000,15,0.5C|1.0C,0.01956755865495452,0.020290951973085402,-0.0007233933181308805
20Ah,3000,15,1.0C|1.5C,0.020531376272462428,0.02061989026694895,-8.85139944865232e-05
20Ah,3000,15,1.5C|2.0C,0.019728556608560963,0.0202340789936597,-0.0005055223850987356
20Ah,3000,15,2.0C|2.5C,0.01733818260299877,0.018358491557865498,-0.0010203089548667288
20Ah,3000,15,0.5C|1.0C|1.5C|2.0C|2.5C,0.017740418053982104,0.019578691950824758,-0.001838273896842655
20Ah,3000,25,0.5C|1.0C,0.017329871954012428,0.020451664530736054,-0.0031217925767236254
20Ah,3000,25,1.0C|1.5C,0.0224882160988805,0.022265212385666304,0.00022300371321419378
20Ah,3000,25,1.5C|2.0C,0.018785677459414202,0.021164324285635548,-0.002378646826221349
20Ah,3000,25,2.0C|2.5C,0.018542331647875776,0.019655414422832397,-0.001113082774956622
20Ah,3000,25,0.5C|1.0C|1.5C|2.0C|2.5C,0.016948796257758247,0.020501657855413802,-0.0035528615976555544
20Ah,3000,35,0.5C|1.0C,0.01651368640119911,0.0168585315475242,-0.0003448451463250923
20Ah,3000,35,1.0C|1.5C,0.017354617622503635,0.01731383007539265,4.0787547110985315e-05
20Ah,3000,35,1.5C|2.0C,0.01526607968110626,0.0163601845177594,-0.0010941048366531403
20Ah,3000,35,2.0C|2.5C,0.015407089111733878,0.0177411501961048,-0.002334061084370922
20Ah,3000,35,0.5C|1.0C|1.5C|2.0C|2.5C,0.01563819309062105,0.01731720432446864,-0.0016790112338475893
20Ah,3000,45,0.5C|1.0C,0.015521594239541955,0.0157820516189796,-0.00026045737943764414
20Ah,3000,45,1.0C|1.5C,0.016153723343283133,0.01607089228304625,8.283106023688314e-05
20Ah,3000,45,1.5C|2.0C,0.015020186709529896,0.0152840036577137,-0.00026381694818380377
20Ah,3000,45,2.0C|2.5C,0.014334930894351828,0.019469143023956848,-0.005134212129605023
20Ah,3000,45,0.5C|1.0C|1.5C|2.0C|2.5C,0.014946064380474144,0.017294349922155904,-0.0023482855416817583
20Ah,3000,55,0.5C|1.0C,0.01621713404530243,0.018398691779371253,-0.002181557734068822
20Ah,3000,55,1.0C|1.5C,0.017893090842914572,0.01931170038486135,-0.0014186095419467782
20Ah,3000,55,1.5C|2.0C,0.018169965171641635,0.0189192217116787,-0.0007492565400370643
20Ah,3000,55,2.0C|2.5C,0.014683591821267179,0.024849139356535748,-0.01016554753526857
20Ah,3000,55,0.5C|1.0C|1.5C|2.0C|2.5C,0.014252388352832783,0.020998226068397782,-0.006745837715564997
20Ah,3000,65,0.5C|1.0C,0.011122595108438483,0.012318026067273,-0.001195430958834518
20Ah,3000,65,1.0C|1.5C,0.01169655534526317,0.011603191505875401,9.336383938776782e-05
20Ah,3000,65,1.5C|2.0C,0.010780729036711482,0.0111880012266746,-0.0004072721899631171
20Ah,3000,65,2.0C|2.5C,0.01043585911504494,0.02016384381951165,-0.00972798470446671
20Ah,3000,65,0.5C|1.0C|1.5C|2.0C|2.5C,0.010281981869799242,0.015335495954100761,-0.00505351408430152
20Ah,3000,75,0.5C|1.0C,0.004203118718589638,0.00327227358516205,0.000930845133427588
20Ah,3000,75,1.0C|1.5C,0.004433818132626832,0.00326919318471595,0.0011646249479108821
20Ah,3000,75,1.5C|2.0C,0.0033924506632810325,0.00331647579344455,7.59748698364826e-05
20Ah,3000,75,2.0C|2.5C,0.003431592517688542,0.00327636840959885,0.00015522410808969212
20Ah,3000,75,0.5C|1.0C|1.5C|2.0C|2.5C,0.009280483980272647,0.0032804629185164197,0.006000021061756226
20Ah,5000,5,0.5C|1.0C,0.018984060155677523,0.028544854286237806,-0.009560794130560279
20Ah,5000,5,1.0C|1.5C,0.020888722779788583,0.024225211267329953,-0.003336488487541369
20Ah,5000,5,1.5C|2.0C,0.022963830142137178,0.026596469661673103,-0.003632639519535923
20Ah,5000,5,2.0C|2.5C,0.026985434022816956,0.0270401003459892,-5.466632317224551e-05
20Ah,5000,5,0.5C|1.0C|1.5C|2.0C|2.5C,0.01800383960605605,0.02739221364159268,-0.009388374035536632
20Ah,5000,15,0.5C|1.0C,0.015134763731308018,0.0193268839914762,-0.004192120260168179
20Ah,5000,15,1.0C|1.5C,0.0187932769857614,0.021057236538666698,-0.002263959552905299
20Ah,5000,15,1.5C|2.0C,0.01773661648167993,0.0186600916519128,-0.0009234751702328725
20Ah,5000,15,2.0C|2.5C,0.01697072191017587,0.01802201641033855,-0.0010512945001626805
20Ah,5000,15,0.5C|1.0C|1.5C|2.0C|2.5C,0.015190266830769093,0.01884959842737214,-0.0036593315966030483
20Ah,5000,25,0.5C|1.0C,0.015259886902226969,0.02132846852200795,-0.006068581619780982
20Ah,5000,25,1.0C|1.5C,0.02256080965040827,0.0249197201910744,-0.002358910540666126
20Ah,5000,25,1.5C|2.0C,0.019433880287986132,0.021968817746124053,-0.00253493745813792
20Ah,5000,25,2.0C|2.5C,0.019917430124983808,0.0272399807051622,-0.007322550580178391
20Ah,5000,25,0.5C|1.0C|1.5C|2.0C|2.5C,0.014946991448160762,0.0242374622245874,-0.009290470776426635
20Ah,5000,35,0.5C|1.0C,0.013565809379939744,0.0149510420789134,-0.0013852326989736551
20Ah,5000,35,1.0C|1.5C,0.015892848278637874,0.01601090464817255,-0.00011805636953467591
20Ah,5000,35,1.5C|2.0C,0.014134501577063223,0.014961109155608549,-0.0008266075785453264
20Ah,5000,35,2.0C|2.5C,0.013927047526165231,0.023683180260540847,-0.009756132734375615
20Ah,5000,35,0.5C|1.0C|1.5C|2.0C|2.5C,0.01379389817810069,0.01858105551844188,-0.004787157340341189
20Ah,5000,45,0.5C|1.0C,0.01321285482981856,0.0142709715724307,-0.0010581167426121385
20Ah,5000,45,1.0C|1.5C,0.014000517996060256,0.014718390732902452,-0.0007178727368421956
20Ah,5000,45,1.5C|2.0C,0.013044291832801924,0.01441758778629525,-0.0013732959534933254
20Ah,5000,45,2.0C|2.5C,0.013899641148038166,0.024930877917567148,-0.011031236769528982
20Ah,5000,45,0.5C|1.0C|1.5C|2.0C|2.5C,0.01306846298122687,0.01851103091151704,-0.00544256793029017
20Ah,5000,55,0.5C|1.0C,0.015130094833285947,0.018330042088041298,-0.003199947254755351
20Ah,5000,55,1.0C|1.5C,0.017665043019635562,0.020065143971562248,-0.002400100951926687
20Ah,5000,55,1.5C|2.0C,0.01792647726917783,0.024642519721556903,-0.006716042452379072
20Ah,5000,55,2.0C|2.5C,0.017892701671600182,0.026328835214293553,-0.008436133542693371
20Ah,5000,55,0.5C|1.0C|1.5C|2.0C|2.5C,0.012432803712870737,0.0216066570014032,-0.009173853288532461
20Ah,5000,65,0.5C|1.0C,0.009879895351113749,0.011432727908966451,-0.0015528325578527025
20Ah,5000,65,1.0C|1.5C,0.009612687986695265,0.00965100025792835,-3.831227123308523e-05
20Ah,5000,65,1.5C|2.0C,0.009739807755348273,0.01214379177857005,-0.002403984023221777
20Ah,5000,65,2.0C|2.5C,0.012354430155643869,0.0174933335918878,-0.005138903436243929
20Ah,5000,65,0.5C|1.0C|1.5C|2.0C|2.5C,0.009124653852810367,0.013487359530028881,-0.0043627056772185145
20Ah,5000,75,0.5C|1.0C,0.0034606893376398773,0.0032347847043700502,0.00022590463326982723
20Ah,5000,75,1.0C|1.5C,0.0024100818491417653,0.0031864136172412507,-0.0007763317680994853
20Ah,5000,75,1.5C|2.0C,0.003450237950105489,0.0031613409103062,0.00028889703979928906
20Ah,5000,75,2.0C|2.5C,0.0040225205501371875,0.0030761334736458,0.0009463870764913874
20Ah,5000,75,0.5C|1.0C|1.5C|2.0C|2.5C,0.004969217241116819,0.0031659327181028803,0.0018032845230139388
