capacity,soc_%,crate,seed,importance
68Ah,25,0.5,70,0.011451934208387143
68Ah,25,0.5,71,0.02889697275253951
68Ah,25,0.5,72,0.025150101737018597
68Ah,25,0.5,73,0.018415901060470058
68Ah,25,0.5,74,0.0229877409202021
68Ah,25,0.5,75,0.023739026435678042
68Ah,25,0.5,76,0.025810410277075216
68Ah,25,0.5,77,0.025400883878436614
68Ah,25,0.5,78,0.02579015654230382
68Ah,25,0.5,79,0.021222122138960645
68Ah,25,0.5,80,0.025495708371088995
68Ah,25,0.5,81,0.022123572375084936
68Ah,25,0.5,82,0.015263735291469535
68Ah,25,0.5,83,0.018015291127569902
68Ah,25,0.5,84,0.01950146864967091
68Ah,25,0.5,85,0.025771330700406908
68Ah,25,0.5,86,0.031159232995245693
68Ah,25,0.5,87,0.022514398141846425
68Ah,25,0.5,88,0.019252327894866646
68Ah,25,0.5,89,0.02282639907514714
68Ah,25,0.5,90,0.02619729739914722
68Ah,25,0.5,91,0.018393947876551044
68Ah,25,0.5,92,0.020686264301154698
68Ah,25,0.5,93,0.019761737410489196
68Ah,25,0.5,94,0.02300559021258364
68Ah,25,0.5,95,0.022718791504410075
68Ah,25,0.5,96,0.025016886708348906
68Ah,25,0.5,97,0.024885163839985826
68Ah,25,0.5,98,0.02632019635236251
68Ah,25,0.5,99,0.02777704461675055
20Ah,50,0.5,0,0.015233004621848702
20Ah,50,0.5,1,0.017186844465798098
20Ah,50,0.5,2,0.02133887077998039
20Ah,50,0.5,3,0.01872121616190334
20Ah,50,0.5,4,0.02373737973064295
20Ah,50,0.5,5,0.023768356365994656
20Ah,50,0.5,6,0.02522273495835796
20Ah,50,0.5,7,0.020963204714233904
20Ah,50,0.5,8,0.008667039080585508
20Ah,50,0.5,9,0.020340505777123957
20Ah,50,0.5,10,0.014776985458647099
20Ah,50,0.5,11,0.015849283554594026
20Ah,50,0.5,12,0.014737662549649767
20Ah,50,0.5,13,0.02560494133360258
20Ah,50,0.5,14,0.016349542359099186
20Ah,50,0.5,15,0.023003097582812597
20Ah,50,0.5,16,0.023394887240329818
20Ah,50,0.5,17,0.01683287753770226
20Ah,50,0.5,18,0.02263696795504517
20Ah,50,0.5,19,0.018469607206120807
20Ah,50,0.5,20,0.020069130620103542
20Ah,50,0.5,21,0.024819699975284455
20Ah,50,0.5,22,0.019408698888811568
20Ah,50,0.5,23,0.029797470102880863
20Ah,50,0.5,24,0.02911127440946092
20Ah,50,0.5,25,0.00939202331600875
20Ah,50,0.5,26,0.006438737122133323
20Ah,50,0.5,27,0.02153934268570173
20Ah,50,0.5,28,0.022341042721554242
20Ah,50,0.5,29,0.025713410823763393
20Ah,50,0.5,30,0.020194859027229978
20Ah,50,0.5,31,0.027694792425274933
20Ah,50,0.5,32,0.017392595076157667
20Ah,50,0.5,33,0.021190288984114847
20Ah,50,0.5,34,0.021601243675816357
20Ah,50,0.5,35,0.012357793935822184
20Ah,50,0.5,36,0.020782985446760403
20Ah,50,0.5,37,0.020067742132594383
20Ah,50,0.5,38,0.020470046221150128
20Ah,50,0.5,39,0.02275861326005316
20Ah,50,0.5,40,0.01677877911073546
20Ah,50,0.5,41,0.013871988889216732
20Ah,50,0.5,42,0.022911101124043362
20Ah,50,0.5,43,0.02131418725349421
20Ah,50,0.5,44,0.014853377633205695
20Ah,50,0.5,45,0.008791260008696867
20Ah,50,0.5,46,0.020505914406100625
20Ah,50,0.5,47,0.01460485773018989
20Ah,50,0.5,48,0.007229104756851079
20Ah,50,0.5,49,0.01245098338146945
20Ah,50,0.5,50,0.02211158776701546
20Ah,50,0.5,51,0.03296044076762838
20Ah,50,0.5,52,0.02902098023742097
20Ah,50,0.5,53,0.02225482048075224
20Ah,50,0.5,54,0.019129882305554537
20Ah,50,0.5,55,0.029347226343246685
20Ah,50,0.5,56,0.02390178403310617
20Ah,50,0.5,57,0.014786585410094432
20Ah,50,0.5,58,0.026365401853871668
20Ah,50,0.5,59,0.02642272183785889
20Ah,50,0.5,60,0.028190123311873386
20Ah,50,0.5,61,0.014709063178780506
20Ah,50,0.5,62,0.025708314763831175
20Ah,50,0.5,63,0.013338373312587378
20Ah,50,0.5,64,0.01585396203270124
20Ah,50,0.5,65,0.02355583008821719
20Ah,50,0.5,66,0.026145043711769095
20Ah,50,0.5,67,0.02609678304890709
20Ah,50,0.5,68,0.02561609140869846
20Ah,50,0.5,69,0.009470320250233547
20Ah,50,0.5,70,0.0160474235901721
20Ah,50,0.5,71,0.03071585203851343
20Ah,50,0.5,72,0.018960424325155375
20Ah,50,0.5,73,0.04124625477495625
20Ah,50,0.5,74,0.01872060157783828
20Ah,50,0.5,75,0.018537478954897983
20Ah,50,0.5,76,0.014015234224238143
20Ah,50,0.5,77,0.0043457587205948806
20Ah,50,0.5,78,0.029589489981605033
20Ah,50,0.5,79,0.01868687212459859
20Ah,50,0.5,80,0.004891477716586319
20Ah,50,0.5,81,0.020825067676229145
20Ah,50,0.5,82,0.018233047370406905
20Ah,50,0.5,83,0.01854084139364152
20Ah,50,0.5,84,0.01927491888861168
20Ah,50,0.5,85,0.012225537790994183
20Ah,50,0.5,86,0.020005734542593495
20Ah,50,0.5,87,0.0140874072177731
20Ah,50,0.5,88,0.024745356761226932
20Ah,50,0.5,89,0.022261825212252867
20Ah,50,0.5,90,0.011223986195331704
20Ah,50,0.5,91,0.0002906491657499549
20Ah,50,0.5,92,0.016756701503472186
20Ah,50,0.5,93,0.012291242326100162
