capacity,soc_%,crate,seed,importance
20Ah,75,2.5,73,4.7442528127577855e-05
20Ah,75,2.5,74,0.00421773322252023
20Ah,75,2.5,75,0.0007436136170427508
20Ah,75,2.5,76,0.0002752687854382282
20Ah,75,2.5,77,0.001155801705173803
20Ah,75,2.5,78,0.0007797328800416032
20Ah,75,2.5,79,0.00019795158809937823
20Ah,75,2.5,80,0.004759548175367299
20Ah,75,2.5,81,7.824213835440248e-05
20Ah,75,2.5,82,0.0010401536368656592
20Ah,75,2.5,83,0.0007900719519310142
20Ah,75,2.5,84,0.0002752687854382273
20Ah,75,2.5,85,0.000573078660796134
20Ah,75,2.5,86,0.0006491947330486119
20Ah,75,2.5,87,0.0005583454180492395
20Ah,75,2.5,88,0.001436388282954755
20Ah,75,2.5,89,0.0005391639066912785
20Ah,75,2.5,90,0.0011383274176425746
20Ah,75,2.5,91,0.009054949363082739
20Ah,75,2.5,92,0.004199201196499942
20Ah,75,2.5,93,0.0007509829359131513
20Ah,75,2.5,94,0.000743613617042753
20Ah,75,2.5,95,0.0011383274176425707
20Ah,75,2.5,96,0.0029825638587195574
20Ah,75,2.5,97,0.0005391639066912791
20Ah,75,2.5,98,0.00421773322252022
20Ah,75,2.5,99,0.0007969881471627064
68Ah,75,2.5,0,0.027694698820377853
68Ah,75,2.5,1,0.01893894029095754
68Ah,75,2.5,2,0.023261837923722363
68Ah,75,2.5,3,0.029076842503861396
68Ah,75,2.5,4,0.024433984830814475
68Ah,75,2.5,5,0.019294467462967077
68Ah,75,2.5,6,0.02251955419004549
68Ah,75,2.5,7,0.027957343065468775
68Ah,75,2.5,8,0.021578767071657724
68Ah,75,2.5,9,0.028560543855613855
68Ah,75,2.5,10,0.023425463710801814
68Ah,75,2.5,11,0.025533290679483983
68Ah,75,2.5,12,0.02154867814079338
68Ah,75,2.5,13,0.02675475059711782
68Ah,75,2.5,14,0.022480952774147984
68Ah,75,2.5,15,0.027491973125608006
68Ah,75,2.5,16,0.025120006148764248
68Ah,75,2.5,17,0.02107323885011597
68Ah,75,2.5,18,0.021991826509731426
68Ah,75,2.5,19,0.02649744846456867
68Ah,75,2.5,20,0.02780263231578082
68Ah,75,2.5,21,0.027621276875224084
