capacity,soc_%,crate,seed,importance,signed_importance
20Ah,25,1.0,41,0.016912413092760037,0.016912413092760037
20Ah,25,2.0,41,0.007106345942090658,0.007106345942090658
20Ah,25,2.5,41,0.004049386529331807,0.004049386529331807
20Ah,25,1.5,41,0.0023857088717343616,0.0023857088717343616
20Ah,25,0.5,42,0.05932311355282329,-0.05932311355282329
20Ah,25,1.5,42,0.0131811927539334,0.0131811927539334
20Ah,25,1.0,42,0.01282859728380165,0.01282859728380165
20Ah,25,2.5,42,0.0051049599010411645,0.0051049599010411645
20Ah,25,2.0,42,0.0005417897073637379,0.0005417897073637379
20Ah,25,0.5,43,0.058728982003109775,-0.058728982003109775
20Ah,25,1.0,43,0.022899283886939875,0.022899283886939875
20Ah,25,2.5,43,0.007359246744954804,0.007359246744954804
20Ah,25,1.5,43,0.002343430821437791,0.002343430821437791
20Ah,25,2.0,43,0.0004416613894545168,-0.0004416613894545168
20Ah,25,0.5,44,0.05776361895644952,-0.05776361895644952
20Ah,25,1.0,44,0.013427594774281466,0.013427594774281466
20Ah,25,1.5,44,0.011660207560264674,0.011660207560264674
20Ah,25,2.5,44,0.005094708353731001,0.005094708353731001
20Ah,25,2.0,44,0.00019852051016926045,0.00019852051016926045
20Ah,25,0.5,45,0.055221186335114435,-0.055221186335114435
20Ah,25,1.0,45,0.012782880508818576,0.012782880508818576
20Ah,25,1.5,45,0.012234362799976242,0.012234362799976242
20Ah,25,2.5,45,0.004991325803026686,0.004991325803026686
20Ah,25,2.0,45,0.00243412116857275,-0.00243412116857275
20Ah,25,0.5,46,0.04933435082636673,-0.04933435082636673
20Ah,25,1.0,46,0.025804003141753823,0.025804003141753823
20Ah,25,2.0,46,0.010652649839143416,-0.010652649839143416
20Ah,25,2.5,46,0.006303277401860827,0.006303277401860827
20Ah,25,1.5,46,0.0013640540952135427,0.0013640540952135427
20Ah,25,0.5,47,0.05854108603381743,-0.05854108603381743
20Ah,25,1.5,47,0.016269658327273822,0.016269658327273822
20Ah,25,1.0,47,0.012318202203638174,0.012318202203638174
20Ah,25,2.5,47,0.006819126082471588,0.006819126082471588
20Ah,25,2.0,47,0.0033517924311275366,-0.0033517924311275366
20Ah,25,0.5,48,0.05432645959003456,-0.05432645959003456
20Ah,25,1.5,48,0.015850480437741597,0.015850480437741597
20Ah,25,1.0,48,0.007296901934324756,0.007296901934324756
20Ah,25,2.5,48,0.006274772728565835,0.006274772728565835
20Ah,25,2.0,48,0.001365202417861036,-0.001365202417861036
20Ah,25,0.5,49,0.05997998702158197,-0.05997998702158197
20Ah,25,1.5,49,0.015214875099973966,0.015214875099973966
20Ah,25,1.0,49,0.012431798733896278,0.012431798733896278
20Ah,25,2.5,49,0.006993213712393591,0.006993213712393591
20Ah,25,2.0,49,0.0006027714312815925,-0.0006027714312815925
20Ah,25,0.5,50,0.05756334156000416,-0.05756334156000416
20Ah,25,1.0,50,0.01618379747701911,0.01618379747701911
20Ah,25,1.5,50,0.013339064080913704,0.013339064080913704
20Ah,25,2.0,50,0.006153475805823972,-0.006153475805823972
20Ah,25,2.5,50,0.006147285666193123,0.006147285666193123
20Ah,25,0.5,51,0.06192595825313788,-0.06192595825313788
20Ah,25,1.5,51,0.015533307814685506,0.015533307814685506
20Ah,25,1.0,51,0.012182699932099243,0.012182699932099243
20Ah,25,2.5,51,0.006640614049597164,0.006640614049597164
20Ah,25,2.0,51,0.0009855785462420527,-0.0009855785462420527
20Ah,25,0.5,52,0.058054462465363846,-0.058054462465363846
20Ah,25,1.5,52,0.014732874991032749,0.014732874991032749
20Ah,25,1.0,52,0.01319845954343494,0.01319845954343494
20Ah,25,2.5,52,0.005090836293299876,0.005090836293299876
20Ah,25,2.0,52,0.003410427188526733,-0.003410427188526733
20Ah,25,0.5,53,0.06133589286766458,-0.06133589286766458
20Ah,25,1.5,53,0.0160223521890795,0.0160223521890795
20Ah,25,1.0,53,0.011333686566088227,0.011333686566088227
20Ah,25,2.5,53,0.006285924143256925,0.006285924143256925
20Ah,25,2.0,53,0.0003063653053332832,-0.0003063653053332832
20Ah,25,0.5,54,0.06190576872126458,-0.06190576872126458
20Ah,25,1.0,54,0.011454067172071602,0.011454067172071602
20Ah,25,2.0,54,0.009832942399675214,0.009832942399675214
20Ah,25,1.5,54,0.009121596700627068,0.009121596700627068
20Ah,25,2.5,54,0.0027361602416975054,0.0027361602416975054
20Ah,25,0.5,55,0.05604796776612706,-0.05604796776612706
20Ah,25,1.0,55,0.014861107491195888,0.014861107491195888
20Ah,25,1.5,55,0.008857553922412328,0.008857553922412328
20Ah,25,2.5,55,0.005656989248370943,0.005656989248370943
20Ah,25,2.0,55,0.002522860813318807,-0.002522860813318807
20Ah,25,0.5,56,0.05366341423860791,-0.05366341423860791
20Ah,25,1.5,56,0.018668827774936038,0.018668827774936038
20Ah,25,1.0,56,0.006726499928173962,0.006726499928173962
20Ah,25,2.5,56,0.004941005776464096,0.004941005776464096
20Ah,25,2.0,56,0.004352712211406299,-0.004352712211406299
20Ah,25,0.5,57,0.06039978319284654,-0.06039978319284654
20Ah,25,1.0,57,0.013345150028681575,0.013345150028681575
20Ah,25,1.5,57,0.012626782259735783,0.012626782259735783
20Ah,25,2.5,57,0.006569077804712591,0.006569077804712591
20Ah,25,2.0,57,0.0012869949140801285,0.0012869949140801285
20Ah,25,0.5,58,0.04697695200903769,-0.04697695200903769
20Ah,25,1.0,58,0.016659187701881954,0.016659187701881954
20Ah,25,2.0,58,0.007238762290044297,-0.007238762290044297
20Ah,25,2.5,58,0.00510010693198195,0.00510010693198195
20Ah,25,1.5,58,0.0042761556783297225,0.0042761556783297225
20Ah,25,0.5,59,0.0612429237236737,-0.0612429237236737
20Ah,25,1.5,59,0.016351355154866194,0.016351355154866194
20Ah,25,1.0,59,0.009223032622578026,0.009223032622578026
20Ah,25,2.5,59,0.006165462824459436,0.006165462824459436
20Ah,25,2.0,59,0.0027588638957072556,0.0027588638957072556
20Ah,25,0.5,60,0.060402959162066026,-0.060402959162066026
20Ah,25,1.0,60,0.016830087551982842,0.016830087551982842
20Ah,25,1.5,60,0.009813944203245812,0.009813944203245812
20Ah,25,2.5,60,0.006424930220338178,0.006424930220338178
20Ah,25,2.0,60,0.0010658143718906077,-0.0010658143718906077
20Ah,25,0.5,61,0.05461988884190946,-0.05461988884190946
20Ah,25,1.5,61,0.01596405678836662,0.01596405678836662
20Ah,25,1.0,61,0.007822605231641551,0.007822605231641551
20Ah,25,2.5,61,0.005146084740916823,0.005146084740916823
20Ah,25,2.0,61,0.0013095384300478264,-0.0013095384300478264
20Ah,25,0.5,62,0.05916437232297613,-0.05916437232297613
20Ah,25,1.0,62,0.019857377905429557,0.019857377905429557
20Ah,25,1.5,62,0.0081542110333038,0.0081542110333038
20Ah,25,2.5,62,0.002960842234071364,0.002960842234071364
20Ah,25,2.0,62,0.001326245174397466,-0.001326245174397466
20Ah,25,0.5,63,0.05895986323670743,-0.05895986323670743
20Ah,25,1.0,63,0.01609746187626017,0.01609746187626017
20Ah,25,1.5,63,0.0066465965720902374,0.0066465965720902374
20Ah,25,2.5,63,0.006272127272493055,0.006272127272493055
20Ah,25,2.0,63,0.00443138534506195,0.00443138534506195
20Ah,25,0.5,64,0.05198413563888709,-0.05198413563888709
20Ah,25,1.0,64,0.017512468437654836,0.017512468437654836
20Ah,25,2.0,64,0.011619056316920106,-0.011619056316920106
20Ah,25,1.5,64,0.011490566928846023,0.011490566928846023
20Ah,25,2.5,64,0.007362727070388538,0.007362727070388538
20Ah,25,0.5,65,0.050519152587242565,-0.050519152587242565
20Ah,25,1.5,65,0.018498411078865577,0.018498411078865577
20Ah,25,2.0,65,0.012449730629244244,-0.012449730629244244
